timestamp,latitudeE7,longitudeE7
2023-09-21T21:46:07.832Z,372342047,-804109351
2023-09-21T21:46:35.425Z,372341128,-804109295
2023-09-21T21:47:05.536Z,372340589,-804109133
2023-09-21T21:47:22.272Z,372339790,-804109398
2023-09-21T21:47:59.273Z,372318053,-804141677
2023-09-21T21:48:22.271Z,372328047,-804155081
2023-09-21T21:48:41.271Z,372337132,-804167211
2023-09-21T21:49:00.272Z,372333512,-804174114
2023-09-21T21:49:31.273Z,372333259,-804176409
2023-09-21T21:49:49.901Z,372332599,-804176195
2023-09-21T21:50:09.934Z,372332541,-804175332
2023-09-21T21:50:31.272Z,372333120,-804176070
2023-09-21T21:50:51.272Z,372333047,-804176322
2023-09-21T21:51:11.272Z,372332972,-804176372
2023-09-21T21:51:31.272Z,372332905,-804176409
2023-09-21T21:51:52.271Z,372332827,-804176438
2023-09-21T21:52:11.272Z,372332803,-804176445
2023-09-21T21:52:31.272Z,372332779,-804176439
2023-09-21T21:52:52.271Z,372332773,-804176448
2023-09-21T21:53:11.272Z,372332731,-804176440
2023-09-21T21:53:31.271Z,372332714,-804176441
2023-09-21T21:53:51.272Z,372332693,-804176445
2023-09-21T21:54:13.498Z,372332924,-804175775
2023-09-21T21:54:30.755Z,372333891,-804176350
2023-09-21T21:54:50.085Z,372341456,-804192843
2023-09-21T21:55:10.157Z,372350359,-804205112
2023-09-21T21:55:30.161Z,372349772,-804204397
2023-09-21T21:55:45.993Z,372353810,-804208083
2023-09-21T21:56:03.349Z,372347739,-804210564
2023-09-21T21:56:26.210Z,372346391,-804217028
2023-09-21T21:56:43.271Z,372346287,-804216561
2023-09-21T21:57:11.059Z,372346646,-804217112
2023-09-21T21:57:39.271Z,372345797,-804215546
2023-09-21T21:58:02.141Z,372347615,-804217468
2023-09-21T21:58:19.270Z,372347414,-804217281
2023-09-21T21:58:38.088Z,372347876,-804217339
2023-09-21T21:59:00.114Z,372347472,-804217201
2023-09-21T21:59:18.271Z,372347689,-804217308
2023-09-21T21:59:50.248Z,372348042,-804217478
2023-09-21T22:00:10.258Z,372347818,-804217377
2023-09-21T22:00:45.074Z,372347725,-804217366
2023-09-21T22:01:01.271Z,372347846,-804217397
2023-09-21T22:01:17.945Z,372347937,-804217461
2023-09-21T22:01:36.075Z,372347846,-804217436
2023-09-21T22:01:51.271Z,372347862,-804217411
2023-09-21T22:02:24.271Z,372347804,-804217381
2023-09-21T22:02:54.219Z,372346350,-804217298
2023-09-21T22:03:13.272Z,372347529,-804217479
2023-09-21T22:03:45.423Z,372342676,-804223170
2023-09-21T22:04:05.453Z,372342213,-804223068
2023-09-21T22:04:25.510Z,372339831,-804232926
2023-09-21T22:04:41.272Z,372333808,-804247764
2023-09-21T22:05:13.528Z,372346444,-804217629
2023-09-21T22:05:29.272Z,372343878,-804214521
2023-09-21T22:06:42.271Z,372369150,-804210064
2023-09-21T22:07:10.272Z,372369550,-804209751
2023-09-21T22:07:52.271Z,372388980,-804200776
2023-09-21T22:08:20.270Z,372393788,-804198129
2023-09-21T22:08:48.271Z,372417695,-804181046
2023-09-21T22:09:33.433Z,372455625,-804151644
2023-09-21T22:10:39.649Z,372455625,-804151644
2023-09-21T22:10:55.271Z,372427376,-804097070
2023-09-21T22:11:16.271Z,372402097,-804077823
2023-09-21T22:12:04.140Z,372398230,-804068316
2023-09-21T22:12:32.038Z,372398185,-804068244
2023-09-21T22:12:49.016Z,372398200,-804068304
2023-09-21T22:13:49.594Z,372398377,-804068894
2023-09-21T22:15:10.910Z,372398433,-804068840
2023-09-21T22:17:12.869Z,372398375,-804068951
2023-09-21T22:19:14.902Z,372398418,-804068842
